Andromède,AND,And
Machine pneumatique,ANT,Ant
Oiseau de Paradis,APS,Aps
Verseau,AQR,Aqr
Aigle,AQL,Aql
Autel,ARA,Ara
Bélier,ARI,Ari
Cocher,AUR,Aur
Bouvier,BOO,Boo
Burin,CAE,Cae
Girafe,CAM,Cam
Cancer (ou Écrevisse),CNC,Cnc
Chiens de Chasse,CVN,Cvn
Grand Chien,CMA,Cma
Petit Chien,CMI,Cmi
Capricorne,CAP,Cap
Carène,CAR,Car
Cassiopée,CAS,Cas
Centaure,CEN,Cen
Céphée,CEP,Cep
Baleine,CET,Cet
Caméléon,CHA,Cha
Compas,CIR,Cir
Colombe,COL,Col
Chevelure de Bérénice,COM,Com
Couronne australe,CRA,CrA
Couronne boréale,CRB,CrB
Corbeau,CRV,CrV
Coupe,CRT,Crt
Croix du Sud,CRU,Cru
Cygne,CYG,Cyg
Dauphin,DEL,Del
Dorade,DOR,Dor
Dragon,DRA,Dra
Petit Cheval,EQU,Equ
Éridan,ERI,Eri
Fourneau,FOR,For
Gémeaux,GEM,Gem
Grue,GRU,Gru
Hercule,HER,Her
Horloge,HOR,Hor
Hydre femelle,HYA,Hya
Hydre mâle,HYI,Hyi
Indien (Oiseau),IND,Ind
Lézard,LAC,Lac
Lion,LEO,Leo
Petit Lion,LMI,LMi
Lièvre,LEP,Lep
Balance,LIB,Lib
Loup,LUP,Lup
Lynx,LYN,Lyn
Lyre,LYR,Lyr
Table,MEN,Men
Microscope,MIC,Mic
Licorne,MON,Mon
Mouche,MUS,Mus
Règle,NOR,Nor
Octant,OCT,Oct
Ophiucus,OPH,Oph
Orion,ORI,Ori
Paon,PAV,Pav
Pégase,PEG,Peg
Persée,PER,Per
Phénix,PHE,Phe
Peintre,PIC,Pic
Poissons,PSC,Psc
Poisson austral,PSA,PsA
Poupe,PUP,Pup
Boussole,PYX,Pyx
Réticule,RET,Ret
Flèche,SGE,Sge
Sagittaire,SGR,Sgr
Scorpion,SCO,Sco
Sculpteur,SCL,Scl
Ecu,SCT,Sct
Tête du Serpent,SER1,Ser1
Queue du Serpent,SER2,Ser2
Sextant,SEX,Sex
Taureau,TAU,Tau
Télescope,TEL,Tel
Triangle,TRI,Tri
Triangle austral,TRA,TrA
Toucan,TUC,Tuc
Grande Ourse,UMA,UMa
Petite Ourse,UMI,Umi
Voiles,VEL,Vel
Vierge,VIR,Vir
Poisson volant,VOL,Vol
Petit Renard,VUL,Vul
